[16-07-21_15:20:35.274][[µT]X, Y, Z, Direção]-13.247999, 17.296, 15.824, 105.207794
[16-07-21_15:20:35.395][[µT]X, Y, Z, Direção]-13.247999, 17.204, 15.824, 105.35541
[16-07-21_15:20:35.409][[µT]X, Y, Z, Direção]-13.432, 17.112, 15.824, 105.88722
[16-07-21_15:20:35.513][[µT]X, Y, Z, Direção]-13.432, 17.112, 15.732, 105.88722
[16-07-21_15:20:35.571][[µT]X, Y, Z, Direção]-13.432, 16.928001, 15.732, 106.188446
[16-07-21_15:20:35.651][[µT]X, Y, Z, Direção]-13.432, 17.02, 15.732, 106.03734
[16-07-21_15:20:35.722][[µT]X, Y, Z, Direção]-13.616, 16.928001, 15.916, 106.5686
[16-07-21_15:20:35.861][[µT]X, Y, Z, Direção]-13.708, 16.744, 15.732, 107.06377
[16-07-21_15:20:35.876][[µT]X, Y, Z, Direção]-13.708, 16.652, 15.824, 107.21858
[16-07-21_15:20:35.984][[µT]X, Y, Z, Direção]-13.708, 16.652, 15.916, 107.21858
[16-07-21_15:20:36.057][[µT]X, Y, Z, Direção]-13.616, 16.744, 15.916, 106.87477
[16-07-21_15:20:36.124][[µT]X, Y, Z, Direção]-13.799999, 16.744, 15.916, 107.25174
[16-07-21_15:20:36.199][[µT]X, Y, Z, Direção]-13.892001, 16.56, 16.008, 107.75014
[16-07-21_15:20:36.326][[µT]X, Y, Z, Direção]-13.892001, 16.56, 16.192001, 107.75014
[16-07-21_15:20:36.339][[µT]X, Y, Z, Direção]-13.892001, 16.468, 16.284, 107.90738
[16-07-21_15:20:36.445][[µT]X, Y, Z, Direção]-13.892001, 16.56, 16.192001, 107.75014
[16-07-21_15:20:36.511][[µT]X, Y, Z, Direção]-13.892001, 16.56, 16.192001, 107.75014
[16-07-21_15:20:36.587][[µT]X, Y, Z, Direção]-13.984001, 16.468, 16.284, 108.09387
[16-07-21_15:20:36.680][[µT]X, Y, Z, Direção]-13.892001, 16.652, 16.376001, 107.59392
[16-07-21_15:20:36.786][[µT]X, Y, Z, Direção]-13.799999, 16.56, 16.468, 107.56279
[16-07-21_15:20:36.862][[µT]X, Y, Z, Direção]-13.892001, 16.652, 16.376001, 107.59392
[16-07-21_15:20:36.929][[µT]X, Y, Z, Direção]-13.892001, 16.652, 16.468, 107.59392
[16-07-21_15:20:37.000][[µT]X, Y, Z, Direção]-13.892001, 16.744, 16.468, 107.438705
[16-07-21_15:20:37.069][[µT]X, Y, Z, Direção]-13.984001, 16.744, 16.468, 107.624664
[16-07-21_15:20:37.209][[µT]X, Y, Z, Direção]-13.892001, 16.836, 16.468, 107.2845
[16-07-21_15:20:37.223][[µT]X, Y, Z, Direção]-13.892001, 16.928001, 16.468, 107.1313
[16-07-21_15:20:37.336][[µT]X, Y, Z, Direção]-13.984001, 16.928001, 16.56, 107.31688
[16-07-21_15:20:37.350][[µT]X, Y, Z, Direção]-13.984001, 16.928001, 16.468, 107.31688
[16-07-21_15:20:37.456][[µT]X, Y, Z, Direção]-13.984001, 16.928001, 16.652, 107.31688
[16-07-21_15:20:37.526][[µT]X, Y, Z, Direção]-13.892001, 17.112, 16.56, 106.82788
[16-07-21_15:20:37.641][[µT]X, Y, Z, Direção]-13.892001, 17.112, 16.56, 106.82788
[16-07-21_15:20:37.710][[µT]X, Y, Z, Direção]-13.892001, 17.02, 16.652, 106.979095
[16-07-21_15:20:37.771][[µT]X, Y, Z, Direção]-13.799999, 17.112, 16.56, 106.64171
[16-07-21_15:20:37.853][[µT]X, Y, Z, Direção]-13.984001, 17.112, 16.652, 107.01306
[16-07-21_15:20:37.930][[µT]X, Y, Z, Direção]-13.799999, 17.02, 16.56, 106.792725
[16-07-21_15:20:38.028][[µT]X, Y, Z, Direção]-13.892001, 17.112, 16.468, 106.82788
[16-07-21_15:20:38.041][[µT]X, Y, Z, Direção]-13.984001, 17.112, 16.652, 107.01306
[16-07-21_15:20:38.150][[µT]X, Y, Z, Direção]-13.892001, 17.112, 16.652, 106.82788
[16-07-21_15:20:38.215][[µT]X, Y, Z, Direção]-13.892001, 17.112, 16.56, 106.82788
[16-07-21_15:20:38.290][[µT]X, Y, Z, Direção]-13.984001, 17.112, 16.56, 107.01306
[16-07-21_15:20:38.437][[µT]X, Y, Z, Direção]-13.984001, 17.112, 16.56, 107.01306
[16-07-21_15:20:38.448][[µT]X, Y, Z, Direção]-13.892001, 17.112, 16.468, 106.82788
[16-07-21_15:20:38.561][[µT]X, Y, Z, Direção]-13.984001, 17.112, 16.56, 107.01306
