[16-07-21_13:47:53.296][[µT]X, Y, Z, Direção]15.916, 17.296, -20.883999, 25.13657
[16-07-21_13:47:53.368][[µT]X, Y, Z, Direção]16.1, 17.112, -20.883999, 24.50254
[16-07-21_13:47:53.441][[µT]X, Y, Z, Direção]16.1, 17.112, -20.792, 24.50254
[16-07-21_13:47:53.512][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819622
[16-07-21_13:47:53.581][[µT]X, Y, Z, Direção]16.008, 17.204, -22.908, 24.819622
[16-07-21_13:47:53.662][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819622
[16-07-21_13:47:53.733][[µT]X, Y, Z, Direção]16.008, 17.112, -20.792, 24.666382
[16-07-21_13:47:53.808][[µT]X, Y, Z, Direção]16.1, 17.204, -20.883999, 24.655842
[16-07-21_13:47:53.968][[µT]X, Y, Z, Direção]16.1, 17.112, -22.816, 24.50254
[16-07-21_13:47:53.981][[µT]X, Y, Z, Direção]16.1, 17.204, -20.883999, 24.655842
[16-07-21_13:47:54.084][[µT]X, Y, Z, Direção]16.008, 17.112, -20.883999, 24.666382
[16-07-21_13:47:54.142][[µT]X, Y, Z, Direção]16.008, 17.112, -20.883999, 24.666382
[16-07-21_13:47:54.213][[µT]X, Y, Z, Direção]16.1, 17.112, -20.792, 24.50254
[16-07-21_13:47:54.277][[µT]X, Y, Z, Direção]16.008, 17.112, -20.792, 24.666382
[16-07-21_13:47:54.355][[µT]X, Y, Z, Direção]16.1, 17.112, -20.883999, 24.50254
[16-07-21_13:47:54.431][[µT]X, Y, Z, Direção]16.1, 17.02, -20.976002, 24.34837
[16-07-21_13:47:54.495][[µT]X, Y, Z, Direção]16.008, 16.928001, -20.792, 24.357258
[16-07-21_13:47:54.588][[µT]X, Y, Z, Direção]16.1, 17.02, -20.7, 24.34837
[16-07-21_13:47:54.692][[µT]X, Y, Z, Direção]16.008, 17.02, -20.792, 24.512264
[16-07-21_13:47:54.707][[µT]X, Y, Z, Direção]16.1, 17.112, -20.608, 24.50254
[16-07-21_13:47:54.809][[µT]X, Y, Z, Direção]16.1, 17.02, -20.976002, 24.34837
[16-07-21_13:47:54.881][[µT]X, Y, Z, Direção]16.008, 17.02, -20.7, 24.512264
[16-07-21_13:47:54.944][[µT]X, Y, Z, Direção]16.008, 17.02, -20.792, 24.512264
[16-07-21_13:47:55.021][[µT]X, Y, Z, Direção]16.1, 16.928001, -20.792, 24.193314
[16-07-21_13:47:55.096][[µT]X, Y, Z, Direção]16.008, 16.928001, -23.276001, 24.357258
[16-07-21_13:47:55.158][[µT]X, Y, Z, Direção]16.008, 16.928001, -22.816, 24.357258
[16-07-21_13:47:55.236][[µT]X, Y, Z, Direção]16.008, 16.836, -20.883999, 24.201355
[16-07-21_13:47:55.396][[µT]X, Y, Z, Direção]16.008, 16.836, -22.908, 24.201355
[16-07-21_13:47:55.411][[µT]X, Y, Z, Direção]16.008, 16.836, -20.792, 24.201355
[16-07-21_13:47:55.515][[µT]X, Y, Z, Direção]16.1, 16.652, -20.883999, 23.722797
[16-07-21_13:47:55.576][[µT]X, Y, Z, Direção]16.1, 16.652, -20.883999, 23.722797
[16-07-21_13:47:55.655][[µT]X, Y, Z, Direção]16.008, 16.652, -20.883999, 23.88686
[16-07-21_13:47:55.733][[µT]X, Y, Z, Direção]16.008, 16.56, -20.792, 23.728252
[16-07-21_13:47:55.802][[µT]X, Y, Z, Direção]16.008, 16.56, -20.7, 23.728252
[16-07-21_13:47:55.870][[µT]X, Y, Z, Direção]15.916, 16.56, -20.976002, 23.893257
[16-07-21_13:47:55.938][[µT]X, Y, Z, Direção]15.916, 16.56, -20.792, 23.893257
[16-07-21_13:47:56.026][[µT]X, Y, Z, Direção]15.916, 16.376001, -20.792, 23.573353
[16-07-21_13:47:56.047][[µT]X, Y, Z, Direção]16.008, 16.468, -20.792, 23.56873
[16-07-21_13:47:56.123][[µT]X, Y, Z, Direção]15.916, 16.284, -20.792, 23.41201
[16-07-21_13:47:56.236][[µT]X, Y, Z, Direção]16.1, 16.192001, -20.976002, 22.920467
[16-07-21_13:47:56.310][[µT]X, Y, Z, Direção]15.916, 16.192001, -20.976002, 23.249733
[16-07-21_13:47:56.373][[µT]X, Y, Z, Direção]16.008, 16.1, -23.092001, 22.921402
[16-07-21_13:47:56.448][[µT]X, Y, Z, Direção]15.916, 16.008, -20.976002, 22.922344
[16-07-21_13:47:56.518][[µT]X, Y, Z, Direção]15.916, 16.1, -21.252, 23.08651
[16-07-21_13:47:56.596][[µT]X, Y, Z, Direção]16.008, 16.192001, -21.16, 23.084633
[16-07-21_13:47:56.668][[µT]X, Y, Z, Direção]16.008, 16.1, -21.252, 22.921402
[16-07-21_13:47:56.813][[µT]X, Y, Z, Direção]16.008, 16.008, -21.436, 22.757229
[16-07-21_13:47:56.829][[µT]X, Y, Z, Direção]16.1, 16.1, -21.436, 22.757229
[16-07-21_13:47:56.955][[µT]X, Y, Z, Direção]16.1, 16.192001, -21.528002, 22.920467
[16-07-21_13:47:56.969][[µT]X, Y, Z, Direção]16.192001, 16.192001, -21.528002, 22.757229
[16-07-21_13:47:57.076][[µT]X, Y, Z, Direção]16.1, 16.284, -21.436, 23.082771
[16-07-21_13:47:57.153][[µT]X, Y, Z, Direção]16.192001, 16.192001, -21.62, 22.757229
[16-07-21_13:47:57.214][[µT]X, Y, Z, Direção]16.192001, 16.376001, -21.62, 23.080929
[16-07-21_13:47:57.290][[µT]X, Y, Z, Direção]16.284, 16.56, -21.62, 23.238693
[16-07-21_13:47:57.390][[µT]X, Y, Z, Direção]16.192001, 16.56, -21.712, 23.40097
[16-07-21_13:47:57.405][[µT]X, Y, Z, Direção]16.468, 16.56, -21.804, 22.916824
[16-07-21_13:47:57.557][[µT]X, Y, Z, Direção]16.376001, 16.744, -21.712, 23.393818
[16-07-21_13:47:57.570][[µT]X, Y, Z, Direção]16.468, 16.836, -21.804, 23.390305
[16-07-21_13:47:57.682][[µT]X, Y, Z, Direção]16.56, 16.836, -21.896, 23.23074
[16-07-21_13:47:57.750][[µT]X, Y, Z, Direção]16.652, 17.02, -21.804, 23.383389
[16-07-21_13:47:57.827][[µT]X, Y, Z, Direção]16.744, 17.02, -21.804, 23.225578
[16-07-21_13:47:57.889][[µT]X, Y, Z, Direção]16.652, 17.112, -21.804, 23.537777
[16-07-21_13:47:57.957][[µT]X, Y, Z, Direção]16.836, 17.388, -21.804, 23.681274
[16-07-21_13:47:58.141][[µT]X, Y, Z, Direção]16.928001, 17.480001, -21.62, 23.676334
[16-07-21_13:47:58.156][[µT]X, Y, Z, Direção]16.928001, 17.664, -21.896, 23.9761
[16-07-21_13:47:58.273][[µT]X, Y, Z, Direção]17.02, 17.756, -21.62, 23.969658
[16-07-21_13:47:58.287][[µT]X, Y, Z, Direção]16.928001, 17.848, -21.528002, 24.272633
[16-07-21_13:47:58.407][[µT]X, Y, Z, Direção]17.112, 17.848, -21.712, 23.963276
[16-07-21_13:47:58.426][[µT]X, Y, Z, Direção]17.02, 17.94, -21.528002, 24.264664
